[2025-12-03T15:56:50.419Z] Starting NASB1995 cleanup (v3)...
[2025-12-03T15:56:50.426Z] Reading input file: C:\WindSurf\ohbc_website\scripts\NASB1995.txt
[2025-12-03T15:56:50.439Z] Starting Bible text cleanup...
[2025-12-03T15:56:50.446Z] Found book: GENESIS
[2025-12-03T15:56:50.567Z] Found chapter: 15
[2025-12-03T15:56:50.567Z] Found chapter: 16
[2025-12-03T15:56:50.567Z] Found chapter: 17
[2025-12-03T15:56:50.568Z] Found chapter: 18
[2025-12-03T15:56:50.568Z] Found chapter: 19
[2025-12-03T15:56:50.568Z] Found chapter: 20
[2025-12-03T15:56:50.569Z] Found chapter: 21
[2025-12-03T15:56:50.569Z] Found chapter: 22
[2025-12-03T15:56:50.569Z] Found chapter: 23
[2025-12-03T15:56:50.570Z] Found chapter: 24
[2025-12-03T15:56:50.570Z] Found chapter: 25
[2025-12-03T15:56:50.570Z] Found book: nd of 2 KINGS
[2025-12-03T15:56:50.571Z] Found book: 1 CHRONICLES
[2025-12-03T15:56:50.571Z] Found chapter: 1
[2025-12-03T15:56:50.571Z] Found chapter: 2
[2025-12-03T15:56:50.572Z] Found chapter: 3
[2025-12-03T15:56:50.572Z] Found chapter: 4
[2025-12-03T15:56:50.572Z] Found chapter: 5
[2025-12-03T15:56:50.573Z] Found chapter: 6
[2025-12-03T15:56:50.573Z] Found chapter: 7
[2025-12-03T15:56:50.573Z] Found chapter: 8
[2025-12-03T15:56:50.573Z] Found chapter: 9
[2025-12-03T15:56:50.574Z] Found chapter: 10
[2025-12-03T15:56:50.574Z] Found chapter: 11
[2025-12-03T15:56:50.575Z] Found chapter: 12
[2025-12-03T15:56:50.575Z] Found chapter: 13
[2025-12-03T15:56:50.575Z] Found chapter: 14
[2025-12-03T15:56:50.576Z] Found chapter: 15
[2025-12-03T15:56:50.576Z] Found chapter: 16
[2025-12-03T15:56:50.576Z] Found chapter: 17
[2025-12-03T15:56:50.577Z] Found chapter: 18
[2025-12-03T15:56:50.577Z] Found chapter: 19
[2025-12-03T15:56:50.577Z] Found chapter: 20
[2025-12-03T15:56:50.578Z] Found chapter: 21
[2025-12-03T15:56:50.578Z] Found chapter: 22
[2025-12-03T15:56:50.578Z] Found chapter: 23
[2025-12-03T15:56:50.579Z] Found chapter: 24
[2025-12-03T15:56:50.579Z] Found chapter: 25
[2025-12-03T15:56:50.579Z] Found chapter: 26
[2025-12-03T15:56:50.580Z] Found chapter: 27
[2025-12-03T15:56:50.580Z] Found chapter: 28
[2025-12-03T15:56:50.581Z] Found chapter: 29
[2025-12-03T15:56:50.581Z] Found book: End of 1 CHRONICLES
[2025-12-03T15:56:50.581Z] Found book: 2 CHRONICLES
[2025-12-03T15:56:50.581Z] Found chapter: 1
[2025-12-03T15:56:50.582Z] Found chapter: 2
[2025-12-03T15:56:50.582Z] Found chapter: 3
[2025-12-03T15:56:50.582Z] Found chapter: 4
[2025-12-03T15:56:50.583Z] Found chapter: 5
[2025-12-03T15:56:50.583Z] Found chapter: 6
[2025-12-03T15:56:50.583Z] Found chapter: 7
[2025-12-03T15:56:50.584Z] Found chapter: 8
[2025-12-03T15:56:50.584Z] Found chapter: 9
[2025-12-03T15:56:50.584Z] Found chapter: 10
[2025-12-03T15:56:50.585Z] Found chapter: 11
[2025-12-03T15:56:50.585Z] Found chapter: 12
[2025-12-03T15:56:50.585Z] Found chapter: 13
[2025-12-03T15:56:50.585Z] Found chapter: 14
[2025-12-03T15:56:50.586Z] Found chapter: 15
[2025-12-03T15:56:50.586Z] Found chapter: 16
[2025-12-03T15:56:50.586Z] Found chapter: 17
[2025-12-03T15:56:50.587Z] Found chapter: 18
[2025-12-03T15:56:50.587Z] Found chapter: 19
[2025-12-03T15:56:50.587Z] Found chapter: 20
[2025-12-03T15:56:50.588Z] Found chapter: 21
[2025-12-03T15:56:50.588Z] Found chapter: 22
[2025-12-03T15:56:50.588Z] Found chapter: 23
[2025-12-03T15:56:50.589Z] Found chapter: 24
[2025-12-03T15:56:50.589Z] Found chapter: 25
[2025-12-03T15:56:50.589Z] Found chapter: 26
[2025-12-03T15:56:50.590Z] Found chapter: 27
[2025-12-03T15:56:50.590Z] Found chapter: 28
[2025-12-03T15:56:50.590Z] Found chapter: 29
[2025-12-03T15:56:50.590Z] Found chapter: 30
[2025-12-03T15:56:50.591Z] Found chapter: 31
[2025-12-03T15:56:50.591Z] Found chapter: 32
[2025-12-03T15:56:50.591Z] Found chapter: 33
[2025-12-03T15:56:50.592Z] Found chapter: 34
[2025-12-03T15:56:50.592Z] Found chapter: 35
[2025-12-03T15:56:50.592Z] Found chapter: 36
[2025-12-03T15:56:50.593Z] Found book: End of 2 CHRONICLES
[2025-12-03T15:56:50.593Z] Found book: EZRA
[2025-12-03T15:56:50.593Z] Found chapter: 1
[2025-12-03T15:56:50.593Z] Found chapter: 2
[2025-12-03T15:56:50.595Z] Found chapter: 3
[2025-12-03T15:56:50.595Z] Found chapter: 4
[2025-12-03T15:56:50.595Z] Found chapter: 5
[2025-12-03T15:56:50.596Z] Found chapter: 6
[2025-12-03T15:56:50.596Z] Found chapter: 7
[2025-12-03T15:56:50.596Z] Found chapter: 8
[2025-12-03T15:56:50.597Z] Found chapter: 9
[2025-12-03T15:56:50.597Z] Found chapter: 10
[2025-12-03T15:56:50.597Z] Found book: Endo of EZRA
[2025-12-03T15:56:50.598Z] Found book: NEHEMIAH
[2025-12-03T15:56:50.598Z] Found chapter: 1
[2025-12-03T15:56:50.598Z] Found chapter: 2
[2025-12-03T15:56:50.599Z] Found chapter: 3
[2025-12-03T15:56:50.599Z] Found chapter: 4
[2025-12-03T15:56:50.599Z] Found chapter: 5
[2025-12-03T15:56:50.600Z] Found chapter: 6
[2025-12-03T15:56:50.600Z] Found chapter: 8
[2025-12-03T15:56:50.600Z] Found chapter: 9
[2025-12-03T15:56:50.601Z] Found chapter: 10
[2025-12-03T15:56:50.601Z] Found chapter: 11
[2025-12-03T15:56:50.601Z] Found chapter: 12
[2025-12-03T15:56:50.602Z] Found chapter: 13
[2025-12-03T15:56:50.602Z] Found book: End of NEHEMIAH
[2025-12-03T15:56:50.602Z] Found book: ESTHER
[2025-12-03T15:56:50.602Z] Found chapter: 1
[2025-12-03T15:56:50.603Z] Found chapter: 2
[2025-12-03T15:56:50.603Z] Found chapter: 3
[2025-12-03T15:56:50.603Z] Found chapter: 4
[2025-12-03T15:56:50.604Z] Found chapter: 5
[2025-12-03T15:56:50.604Z] Found chapter: 6
[2025-12-03T15:56:50.604Z] Found chapter: 7
[2025-12-03T15:56:50.605Z] Found chapter: 8
[2025-12-03T15:56:50.605Z] Found chapter: 9
[2025-12-03T15:56:50.605Z] Found chapter: 10
[2025-12-03T15:56:50.605Z] Found book: End of ESTHER
[2025-12-03T15:56:50.606Z] Found book: JOB
[2025-12-03T15:56:50.606Z] Found chapter: 1
[2025-12-03T15:56:50.606Z] Found chapter: 2
[2025-12-03T15:56:50.607Z] Found chapter: 3
[2025-12-03T15:56:50.607Z] Found chapter: 4
[2025-12-03T15:56:50.607Z] Found chapter: 5
[2025-12-03T15:56:50.608Z] Found chapter: 6
[2025-12-03T15:56:50.608Z] Found chapter: 7
[2025-12-03T15:56:50.608Z] Found chapter: 8
[2025-12-03T15:56:50.609Z] Found chapter: 9
[2025-12-03T15:56:50.609Z] Found chapter: 10
[2025-12-03T15:56:50.609Z] Found chapter: 11
[2025-12-03T15:56:50.609Z] Found chapter: 12
[2025-12-03T15:56:50.610Z] Found chapter: 13
[2025-12-03T15:56:50.610Z] Found chapter: 14
[2025-12-03T15:56:50.611Z] Found chapter: 15
[2025-12-03T15:56:50.611Z] Found chapter: 16
