[2025-12-03T16:16:24.872Z] Starting robust extraction from NASB1995.txt...
[2025-12-03T16:16:24.979Z] Found chapter: Chapter 27
[2025-12-03T16:16:24.979Z] Found chapter: Chapter 28
[2025-12-03T16:16:24.980Z] Found chapter: Chapter 29
[2025-12-03T16:16:24.980Z] Found book: End of 1 CHRONICLES
[2025-12-03T16:16:24.980Z] Found book: 2 CHRONICLES
[2025-12-03T16:16:24.980Z] Found chapter: Chapter 1
[2025-12-03T16:16:24.980Z] Found chapter: Chapter 2
[2025-12-03T16:16:24.981Z] Found chapter: Chapter 3
[2025-12-03T16:16:24.981Z] Found chapter: Chapter 4
[2025-12-03T16:16:24.981Z] Found chapter: Chapter 5
[2025-12-03T16:16:24.981Z] Found chapter: Chapter 6
[2025-12-03T16:16:24.981Z] Found chapter: Chapter 7
[2025-12-03T16:16:24.981Z] Found chapter: Chapter 8
[2025-12-03T16:16:24.982Z] Found chapter: Chapter 9
[2025-12-03T16:16:24.982Z] Found chapter: Chapter 10
[2025-12-03T16:16:24.982Z] Found chapter: Chapter 11
[2025-12-03T16:16:24.982Z] Found chapter: Chapter 12
[2025-12-03T16:16:24.982Z] Found chapter: Chapter 13
[2025-12-03T16:16:24.982Z] Found chapter: Chapter 14
[2025-12-03T16:16:24.983Z] Found chapter: Chapter 15
[2025-12-03T16:16:24.983Z] Found chapter: Chapter 16
[2025-12-03T16:16:24.983Z] Found chapter: Chapter 17
[2025-12-03T16:16:24.983Z] Found chapter: Chapter 18
[2025-12-03T16:16:24.983Z] Found chapter: Chapter 19
[2025-12-03T16:16:24.983Z] Found chapter: Chapter 20
[2025-12-03T16:16:24.984Z] Found chapter: Chapter 21
[2025-12-03T16:16:24.984Z] Found chapter: Chapter 22
[2025-12-03T16:16:24.984Z] Found chapter: Chapter 23
[2025-12-03T16:16:24.984Z] Found chapter: Chapter 24
[2025-12-03T16:16:24.984Z] Found chapter: Chapter 25
[2025-12-03T16:16:24.985Z] Found chapter: Chapter 26
[2025-12-03T16:16:24.985Z] Found chapter: Chapter 27
[2025-12-03T16:16:24.985Z] Found chapter: Chapter 28
[2025-12-03T16:16:24.985Z] Found chapter: Chapter 29
[2025-12-03T16:16:24.985Z] Found chapter: Chapter 30
[2025-12-03T16:16:24.986Z] Found chapter: Chapter 31
[2025-12-03T16:16:24.986Z] Found chapter: Chapter 32
[2025-12-03T16:16:24.986Z] Found chapter: Chapter 33
[2025-12-03T16:16:24.986Z] Found chapter: Chapter 34
[2025-12-03T16:16:24.986Z] Found chapter: Chapter 35
[2025-12-03T16:16:24.986Z] Found chapter: Chapter 36
[2025-12-03T16:16:24.987Z] Found book: End of 2 CHRONICLES
[2025-12-03T16:16:24.987Z] Found book: EZRA
[2025-12-03T16:16:24.987Z] Found chapter: Chapter 1
[2025-12-03T16:16:24.987Z] Found chapter: Chapter 2
[2025-12-03T16:16:24.987Z] Found chapter: Chapter 3
[2025-12-03T16:16:24.987Z] Found chapter: Chapter 4
[2025-12-03T16:16:24.987Z] Found chapter: Chapter 5
